location,Company,Model,ModelType,Year,Kms,Fuel,Transmission,Color,No_of_owner,RTO,Insurance,Price
"Dallanwala, Dehradun, Uttaranchal",Ford,Ecosport,1.5 Diesel Titanium,2014,15 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,00,000"
"R J Estate, Dehradun, Uttaranchal",Bajaj,RE60,Qute Petrol,2012,"45,000 km",Petrol,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 25,000"
"MDDA Colony Near Kedarpuram, Dehradun, Uttaranchal",Ford,Figo,2010-2012 Diesel EXI,2011,"90,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,50,000"
"Chaman Vihar, Dehradun, Uttaranchal",Toyota,Fortuner,2.8 4WD AT,2020,"30,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 38,40,000"
"Niranjan Pur, Dehradun, Uttaranchal",Mahindra,Scorpio,VLX 4WD Automatic MHawk,2012,"85,000 km",Diesel,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 5,00,000"
"Amar Bhati Village, Dehradun, Uttaranchal",Tata,Safari,4x2 EX DICOR BS-III,2013,"107,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Subhash Nagar, Dehradun, Uttaranchal",Tata,Tiago,Others,2018,"44,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,00,000"
"Raipur, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R 1.0,1.0 VXi,2011,32 km,CNG & Hybrids,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 2,10,000"
"Dharampur Nehru Colony, Dehradun, Uttaranchal",Chevrolet,Spark,2007-2012 1.0 LT Option Pack,2012,"41,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,85,000"
"Janakpuri, Dehradun, Uttaranchal",Hyundai,i20,2012-2014 Magna Optional 1.4 CRDi,2014,"132,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,000"
"Central Hope Town, Selaqui, Uttaranchal",Maruti Suzuki,Omni,MPI STD BSIII 8-STR W/ IMMOBILISER,2006,"45,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,00,000"
"Athhoorwala, Doiwala, Uttaranchal",Maruti Suzuki,Swift,2004-2010 ZXi BSIV,2008,"95,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,00,000"
"Sahaspur, Dehradun, Uttaranchal",Mahindra,Bolero,SLX,2013,"83,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 3,70,000"
"Dehrakhas, Dehradun, Uttaranchal",Tata,Sumo Spacio,Gold-10/6 Str BSIII,2012,13 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"Race Course, Dehradun, Uttaranchal",Mahindra,XUV500,W6 2WD,2013,"81,000 km",Diesel,Manual,Red,1st,UK,Comprehensive,"₹ 4,90,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Tata,Safari,Dicor VX 4X2 BS IV,2012,"56,000 km",Diesel,Manual,Lightblue,1st,UK,Comprehensive,"₹ 2,90,000"
"Race Course, Dehradun, Uttaranchal",Hyundai,i20,1.2 Spotz,2012,"64,000 km",Petrol,Manual,White,3rd,UK,Comprehensive,"₹ 2,60,000"
"Kanhar Wala, Doiwala, Uttaranchal",Maruti Suzuki,Alto,2000-2005 LXI,2012,"80,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 1,50,000"
"Parteetpur Kalyanpur, Herbertpur, Uttaranchal",Maruti Suzuki,Zen,Base,2001,"135,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 65,000"
"Mohabbey Wala, Dehradun, Uttaranchal",Other Brands,Others,Not Available,2018,"50,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,50,000"
"Barlow Ganj, Mussoorie, Uttaranchal",Toyota,Etios,2013-2014 GD,2013,"62,550 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,10,000"
"Maithiyan Gaon, Chamba, Uttaranchal",Mahindra,Others,Others,2010,"85,000 km",Diesel,Manual,Not Available,4+,Not Available,Not Available,"₹ 3,80,000"
"Ajabpur Kalan, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R,Duo LX LPG,2007,"150,000 km",LPG,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Pitthuwala, Dehradun, Uttaranchal",Tata,Nano,2012-2015 Std BSIV,2011,"50,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 40,000"
"Lakkhibagh, Dehradun, Uttaranchal",Tata,Indigo CS,CS LS TDI,2010,22 km,Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 70,000"
"Narayan Vihar, Dehradun, Uttaranchal",Maruti Suzuki,Swift,LXI Option,2016,"47,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Govind Nagar near Chandran Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Alto,LX,2011,"56,480 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,70,000"
"Dharam Bazar Area, Dehradun, Uttaranchal",Honda,Accord,3.0 V6 Automatic,2006,"35,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 4,00,000"
"Uday Vihar, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire,AMT VDI,2015,"86,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,90,000"
"GMS Road, Dehradun, Uttaranchal",Toyota,Innova,2.5 G (Diesel) 7-Seater,2008,"170,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,40,000"
"Nehru Colony, Dehradun, Uttaranchal",Volkswagen,Vento,1.5 TDI Highline Plus 16 Alloy,2010,"76,500 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,85,000"
"Majra, Dehradun, Uttaranchal",Other Brands,Others,Not Available,2020,0 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,50,000"
"IDPL Colony, Rishikesh, Uttaranchal",Mahindra,Others,Others,2020,"12,378 km",Electric,Automatic,Not Available,1st,Not Available,Not Available,"₹ 2,80,000"
"ShyamPur, Rishikesh, Uttaranchal",Tata,Winger,Standard -Flat Roof (Non-AC),2011,14 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"Race Course, Dehradun, Uttaranchal",Hyundai,Santro Xing,GL,2011,"87,000 km",Petrol,Manual,White,2nd,UK,Comprehensive,"₹ 1,60,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Honda,Amaze,2013-2016 SX i-DTEC,2014,"62,000 km",Diesel,Manual,Silver,2nd,UK,Comprehensive,"₹ 3,85,000"
"Shakti Vihar, Dehradun, Uttaranchal",Maruti Suzuki,Swift,LXI,2011,"65,000 km",Petrol,Manual,Blue,1st,UK,Not Available,"₹ 3,00,000"
"Subhash Nagar, Dehradun, Uttaranchal",Maruti Suzuki,800,AC,1997,"56,000 km",Petrol,Manual,White,4th,UK,No Insurance,"₹ 42,000"
"Fatehpur, Chhutmalpur, Uttar Pradesh",Nissan,Terrano,XV D THP 110 PS,2014,"63,000 km",Diesel,Manual,White,2nd,UK,Comprehensive,"₹ 5,20,000"
"Nehru Colony, Dehradun, Uttaranchal",Maruti Suzuki,Vitara Brezza,VDi,2019,"26,700 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 8,70,000"
"Ekta Vihar, Dehradun, Uttaranchal",Hyundai,Verna,2015-2016 1.6 VTVT S,2015,"55,500 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 5,35,000"
"Raipur Area, Dehradun, Uttaranchal",Mahindra,TUV 300 Plus,P4,2019,"60,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,50,000"
"Majra, Dehradun, Uttaranchal",Hyundai,EON,Not Available,2012,"87,236 km",Petrol,Manual,Silver,Not Available,UK,No Insurance,"₹ 2,05,000"
"Kargigrant, Dehradun, Uttaranchal",Maruti Suzuki,Alto 800,2012-2016 LX,2014,"80,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,75,000"
"Parteetpur Kalyanpur, Herbertpur, Uttaranchal",Maruti Suzuki,Alto K10,K10 VXi (O),2011,"83,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,65,000"
"Rajpur Road, Dehradun, Uttaranchal",Skoda,Rapid,2011-2013 1.6 TDI Elegance,2012,"75,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,30,000"
"Rajiv Nagar, Doiwala, Uttaranchal",Tata,Safari,Others,2007,"85,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,20,000"
"Khandraiwala, Pratitnagar, Uttaranchal",Hyundai,i10,2007-2010 Magna 1.2,2009,"105,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,75,000"
"Babugarh, Vikasnagar, Uttaranchal",Maruti Suzuki,Celerio,2014-2017 VXI,2016,"52,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,75,000"
"Athhoorwala, Doiwala, Uttaranchal",Hyundai,Santro Xing,Others,2006,"90,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Rajpur Road, Dehradun, Uttaranchal",Maruti Suzuki,Ciaz,2014-2017 VDi Plus SHVS,2016,"46,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 7,00,000"
"Majra, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R,LXI,2006,"45,000 km",Petrol,Manual,Silver,Not Available,Not Available,No Insurance,"₹ 1,10,000"
"Jakhan, Dehradun, Uttaranchal",Ford,Ikon,1.3L Rocam Flair,2006,"75,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 99,000"
"Doon IT Park, Dehradun, Uttaranchal",Mahindra,Thar,CRDE 4X4 BS IV,2017,"31,000 km",Diesel,Manual,Red,1st,UK,Third Party,"₹ 7,45,000"
"Shakti Vihar, Dehradun, Uttaranchal",Hyundai,Verna,CRDi 1.6 EX,2017,"35,000 km",Diesel,Manual,White,1st,UK,Comprehensive,"₹ 7,95,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Mahindra,Scorpio,2009-2014 VLX 2WD ABS AT BSIII,2014,"52,000 km",Diesel,Manual,White,1st,UK,Comprehensive,"₹ 5,25,000"
"Race Course, Dehradun, Uttaranchal",Maruti Suzuki,Swift Dzire,VDI,2011,"69,000 km",Diesel,Manual,White,2nd,UK,Not Available,"₹ 2,20,000"
"Fatehpur, Chhutmalpur, Uttar Pradesh",Maruti Suzuki,Swift,2004-2010 Vdi BSIII,2008,"100,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 1,70,000"
"Valmiki Colony, Behat, Uttar Pradesh",Maruti Suzuki,Alto K10,VXI,2016,"62,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,00,000"
"Yamuna Nagar, Yamunanagar, Haryana",Chevrolet,Optra,Others,2012,"98,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,50,000"
"ShyamPur, Rishikesh, Uttaranchal",Nissan,Datsun Redi Go,Others,2020,"2,500 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Kalyanpur, Vikasnagar, Uttaranchal",Maruti Suzuki,Ertiga,2012-2015 VXI ABS,2018,"35,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 6,70,000"
"Sanik Colony, Dehradun, Uttaranchal",Maruti Suzuki,Alto,LX,2010,"470,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,80,000"
"MDDA Dehradun, Dehradun, Uttaranchal",Maruti Suzuki,Zen,LX,2001,"63,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 50,000"
"Prem Nagar, Dehradun, Uttaranchal",Hyundai,Verna,2011-2014 1.6 SX,2011,0 km,Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,40,000"
"Chandrwani Khalsa, Dehradun, Uttaranchal",Hyundai,Grand i10,1.2 CRDi Sportz,2015,"16,500 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 3,60,000"
"Chandrwani Khalsa, Dehradun, Uttaranchal",Volkswagen,Polo,1.2 MPI Highline Plus,2013,"800,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Shimla Bypass Road, Dehradun, Uttaranchal",Maruti Suzuki,Zen,LXI,1998,"70,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 40,000"
"Adarsh Nagar, Dehradun, Uttaranchal",Datsun,GO Plus,A Petrol,2020,"20,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,50,000"
"Paschimiwala, Vikasnagar, Uttaranchal",Maruti Suzuki,Swift,2004-2010 Vdi BSIII,2009,"91,200 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,95,000"
"Shivalik Puram, Dehradun, Uttaranchal",Hyundai,Xcent,2016-2017 1.1 CRDi S Celebration Edition,2016,"27,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 4,80,000"
"Upper Rajiv Nagar, Dehradun, Uttaranchal",Tata,Indigo Ecs,eCS LX CR4 BS-IV,2012,"120,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Syuta Bara, Chamba, Uttaranchal",Maruti Suzuki,800,AC BSII,2009,"47,200 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 82,000"
"Bahmanwala, Dehradun, Uttaranchal",Hyundai,i20,2009-2011 Asta 1.4 CRDi (Diesel),2011,"80,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,20,000"
"Race Course, Dehradun, Uttaranchal",Maruti Suzuki,Swift,VXI,2013,"52,000 km",Petrol,Manual,White,1st,UK,Comprehensive,"₹ 3,80,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Ford,Fiesta,2004-2010 1.4 Duratec EXI,2007,"40,000 km",Petrol,Manual,White,1st,UK,No Insurance,"₹ 75,000"
"Shakti Vihar, Dehradun, Uttaranchal",Hyundai,Verna,CRDi 1.6 SX,2014,"75,000 km",Diesel,Manual,Silver,2nd,UK,Comprehensive,"₹ 5,50,000"
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"Charthawal, Charthaval, Uttar Pradesh",Maruti Suzuki,Eeco,CNG HTR 5-STR,2010,"14,585 km",CNG & Hybrids,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,20,000"
"Mansa Ram Cricket Colony, Landaur, Uttaranchal",Maruti Suzuki,800,AC BSIII,2006,"20,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 55,000"
"Old Dalanwala, Dehradun, Uttaranchal",Maruti Suzuki,Alto K10,K10 VXi (O),2011,"36,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Tarla Nagal, Dehradun, Uttaranchal",BMW,3 Series,2005-2011 320d Highline,2011,"75,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 11,00,000"
"Badripur, Paonta Sahib, Himachal Pradesh",Hyundai,Xcent,2014-2016 1.2 Kappa SX Option,2015,"80,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,00,000"
"Jwalapur, Haridwar, Uttaranchal",Hyundai,Verna,2011-2014 1.6 SX,2012,"87,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 4,40,000"
"Valmiki Colony, Behat, Uttar Pradesh",Maruti Suzuki,Swift Dzire Tour,LDI,2013,"93,000 km",Diesel,Manual,Not Available,4+,Not Available,Not Available,"₹ 2,30,000"
"Shivlok Colony, Haridwar, Uttaranchal",Maruti Suzuki,1000,AC,2013,"71,343 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,43,000"
"Shahpur, Bhagwanpur, Uttaranchal",Mahindra,Others,Others,1992,"2,000 km",Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 85,000"
"Rambagh, Herbertpur, Uttaranchal",Chevrolet,Beat,2010-2013 LT,2010,"66,000 km",Petrol,Manual,Not Available,4th,Not Available,Not Available,"₹ 1,50,000"
"Pragati Vihar, Rishikesh, Uttaranchal",Maruti Suzuki,800,Others,2005,20 km,Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 55,000"
"Badripur, Paonta Sahib, Himachal Pradesh",Hyundai,Santro,Others,2002,"90,000 km",Petrol,Automatic,Not Available,2nd,Not Available,Not Available,"₹ 90,000"
"Rest Camp, Dehradun, Uttaranchal",Hyundai,Accent,DLS,2005,22 km,Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 95,000"
"Tehsil Colony, Behat, Uttar Pradesh",Maruti Suzuki,Alto,2005-2010 LX BSIII,2010,"88,596 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,12,000"
"Punjabi Colony, Vikasnagar, Uttaranchal",Maruti Suzuki,Baleno,Zeta Automatic,2017,"19,500 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 6,00,000"
"Mohakampur, Dehradun, Uttaranchal",Tata,Others,Others,2010,"50,000 km",Diesel,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,05,000"
"Mahaveer Vihar, Dehradun, Uttaranchal",Maruti Suzuki,Vitara Brezza,LDi Option,2016,"72,000 km",Diesel,Manual,Grey,1st,UK,Comprehensive,"₹ 6,60,000"
"Mohit Vihar, Dehradun, Uttaranchal",Nissan,Micra,2010-2012 Diesel XV Premium Primo,2012,"72,000 km",Diesel,Manual,White,4th,UK,Third Party,"₹ 2,50,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Maruti Suzuki,Wagon R,VXI,2016,"41,000 km",Petrol,Manual,Gold,1st,UK,Third Party,"₹ 3,80,000"
"Shewla Kalan, Dehradun, Uttaranchal",Maruti Suzuki,Ritz,LXi,2016,"130,000 km",CNG & Hybrids,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,80,000"
"Deepnagar, Dehradun, Uttaranchal",Hyundai,Santro Xing,XL,2007,"120,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,10,000"
"Deenarpur Must, Gagalhedi Must, Uttar Pradesh",Hyundai,Santro Xing,GL,2011,"8,700 km",Petrol,Automatic,Not Available,1st,Not Available,Not Available,"₹ 1,10,000"
"ShyamPur, Rishikesh, Uttaranchal",Maruti Suzuki,800,EX,2001,"94,866 km",Petrol,Automatic,Not Available,4th,Not Available,Not Available,"₹ 50,000"
"Devpura, Haridwar, Uttaranchal",Chevrolet,Spark,2007-2012 Muzic 1.0 LS,2011,"45,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,90,000"
"Fatehpur, Chhutmalpur, Uttar Pradesh",Maruti Suzuki,Alto 800,Others,2019,12 km,Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 2,50,000"
"Race Course, Dehradun, Uttaranchal",Skoda,Fabia,Not Available,2011,"79,000 km",Diesel,Manual,White,2nd,UK,Comprehensive,"₹ 2,00,000"
"Chukkuwala, Dehradun, Uttaranchal",Hyundai,Santro Xing,XG AT eRLX Euro II,2005,"100,000 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 1,20,000"
"Rajpur Road, Dehradun, Uttaranchal",Hyundai,Santro,Not Available,2007,"60,000 km",Petrol,Not Available,Not Available,2nd,UK,Not Available,"₹ 1,10,000"
"Fatehpur, Chhutmalpur, Uttar Pradesh",Maruti Suzuki,800,Others,2012,"150,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,00,000"
"Anarwala, Dehradun, Uttaranchal",Maruti Suzuki,800,AC,2010,"80,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,35,000"
"Rajpur Road, Dehradun, Uttaranchal",Hyundai,Santro Xing,Not Available,2012,"55,000 km",Not Available,Not Available,Not Available,2nd,UK,Not Available,"₹ 1,95,000"
"Patel Nagar, Dehradun, Uttaranchal",Ford,Fiesta,EXi 1.4 Ltd,2007,"98,000 km",Petrol,Manual,Not Available,1st,Not Available,Not Available,"₹ 1,55,000"
"Chataki, Behat, Uttar Pradesh",Toyota,Innova,2.5 G (Diesel) 8 - Seater,2010,"45,000 km",Diesel,Automatic,Not Available,3rd,Not Available,Not Available,"₹ 4,30,000"
"Jagjeetpur, Haridwar, Uttaranchal",Hyundai,Xcent,1.2 CRDi E Plus,2015,"80,000 km",Diesel,Manual,Not Available,3rd,Not Available,Not Available,"₹ 4,10,000"
"Arya Nagar, Haridwar, Uttaranchal",Hyundai,Accent,DLS,2003,"85,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 70,000"
"Mukarrabpur, Piran Kaliyar, Uttaranchal",Hyundai,Santro Xing,XG eRLX Euro II,2004,"102,000 km",Petrol,Manual,Not Available,3rd,Not Available,Not Available,"₹ 35,000"
"Purvi Patel Nagar, Dehradun, Uttaranchal",Mahindra,XUV500,W8 2WD,2012,"55,000 km",Diesel,Manual,White,1st,UK,Comprehensive,"₹ 6,10,000"
"Race Course, Dehradun, Uttaranchal",Maruti Suzuki,S-Cross,Sigma 1.3,2016,"64,000 km",Diesel,Manual,Grey,1st,UK,Comprehensive,"₹ 5,90,000"
"Shakti Vihar, Dehradun, Uttaranchal",Maruti Suzuki,Alto K10,LXI,2016,"44,000 km",Petrol,Manual,Silver,1st,UK,Comprehensive,"₹ 3,00,000"
"BHEL Colony, Haridwar, Uttaranchal",Chevrolet,Sail,1.2 LS ABS,2013,"75,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,10,000"
"Tehsil Colony, Behat, Uttar Pradesh",Tata,H2X,Others,2019,16 km,Diesel,Automatic,Not Available,1st,Not Available,Not Available,"₹ 5,00,000"
"Sarva Priya Vihar Colony, Haridwar, Uttaranchal",Tata,Safari,DICOR 2.2 EX 4x2,2009,"104,741 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,50,000"
"Dhiman, Rishikesh, Uttaranchal",Mahindra,Others,Others,2019,"41,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 2,00,000"
"Bahadarabad, SIDCUL Haridwar, Uttaranchal",Maruti Suzuki,Wagon R,2006-2010 AX Minor,2004,"2,004 km",Petrol,Manual,Not Available,2nd,Not Available,Not Available,"₹ 50,000"
"Someshwar Nagar, Rishikesh, Uttaranchal",Maruti Suzuki,Swift,2011-2014 ZDi,2012,"850,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 3,70,000"
"Sita Pur, Haridwar, Uttaranchal",Mahindra,Scorpio,2002-2013 LX BS IV,2013,"97,000 km",Diesel,Manual,Not Available,2nd,Not Available,Not Available,"₹ 6,80,000"
